year,id,name,works_count,country,fetch_date
2005,2212,Ocean Engineering,394,VG,2025-12-01 19:02:51
2005,2210,Mechanical Engineering,273,VG,2025-12-01 19:02:51
2005,1908,Geophysics,72,VG,2025-12-01 19:02:51
2005,2211,Mechanics of Materials,63,VG,2025-12-01 19:02:51
2005,3106,Nuclear and High Energy Physics,21,VG,2025-12-01 19:02:51
2005,2205,Civil and Structural Engineering,18,VG,2025-12-01 19:02:51
2005,1602,Analytical Chemistry,17,VG,2025-12-01 19:02:51
2005,2105,"Renewable Energy, Sustainability and the Environment",10,VG,2025-12-01 19:02:51
2005,1906,Geochemistry and Petrology,9,VG,2025-12-01 19:02:51
2005,2305,Environmental Engineering,9,VG,2025-12-01 19:02:51
2005,1702,Artificial Intelligence,8,VG,2025-12-01 19:02:51
2005,2204,Biomedical Engineering,7,VG,2025-12-01 19:02:51
2005,2003,Finance,5,VG,2025-12-01 19:02:51
2005,2206,Computational Mechanics,5,VG,2025-12-01 19:02:51
2005,2208,Electrical and Electronic Engineering,5,VG,2025-12-01 19:02:51
2005,2304,Environmental Chemistry,5,VG,2025-12-01 19:02:51
2005,1907,Geology,4,VG,2025-12-01 19:02:51
2005,1705,Computer Networks and Communications,3,VG,2025-12-01 19:02:51
2005,2207,Control and Systems Engineering,3,VG,2025-12-01 19:02:51
2005,2505,Materials Chemistry,3,VG,2025-12-01 19:02:51
2005,2607,Discrete Mathematics and Combinatorics,3,VG,2025-12-01 19:02:51
2005,1502,Bioengineering,2,VG,2025-12-01 19:02:51
2005,1803,Management Science and Operations Research,2,VG,2025-12-01 19:02:51
2005,1904,Earth-Surface Processes,2,VG,2025-12-01 19:02:51
2005,1910,Oceanography,2,VG,2025-12-01 19:02:51
2005,2000,"General Economics, Econometrics and Finance",2,VG,2025-12-01 19:02:51
2005,2308,"Management, Monitoring, Policy and Law",2,VG,2025-12-01 19:02:51
2005,2502,Biomaterials,2,VG,2025-12-01 19:02:51
2005,2741,"Radiology, Nuclear Medicine and Imaging",2,VG,2025-12-01 19:02:51
2005,3108,Radiation,2,VG,2025-12-01 19:02:51
2005,3109,Statistical and Nonlinear Physics,2,VG,2025-12-01 19:02:51
2005,1404,Management Information Systems,1,VG,2025-12-01 19:02:51
2005,1408,Strategy and Management,1,VG,2025-12-01 19:02:51
2005,1507,Fluid Flow and Transfer Processes,1,VG,2025-12-01 19:02:51
2005,1707,Computer Vision and Pattern Recognition,1,VG,2025-12-01 19:02:51
