year,id,name,works_count,country,fetch_date
2005,2303,Ecology,5,VI,2025-12-03 12:48:40
2005,2306,Global and Planetary Change,4,VI,2025-12-03 12:48:40
2005,2309,Nature and Landscape Conservation,4,VI,2025-12-03 12:48:40
2005,3312,Sociology and Political Science,3,VI,2025-12-03 12:48:40
2005,1110,Plant Science,2,VI,2025-12-03 12:48:40
2005,1311,Genetics,2,VI,2025-12-03 12:48:40
2005,1407,Organizational Behavior and Human Resource Management,2,VI,2025-12-03 12:48:40
2005,1102,Agronomy and Crop Science,1,VI,2025-12-03 12:48:40
2005,1103,Animal Science and Zoology,1,VI,2025-12-03 12:48:40
2005,1106,Food Science,1,VI,2025-12-03 12:48:40
2005,1308,Clinical Biochemistry,1,VI,2025-12-03 12:48:40
2005,1312,Molecular Biology,1,VI,2025-12-03 12:48:40
2005,1313,Molecular Medicine,1,VI,2025-12-03 12:48:40
2005,1409,"Tourism, Leisure and Hospitality Management",1,VI,2025-12-03 12:48:40
2005,2308,"Management, Monitoring, Policy and Law",1,VI,2025-12-03 12:48:40
2005,2405,Parasitology,1,VI,2025-12-03 12:48:40
2005,2712,"Endocrinology, Diabetes and Metabolism",1,VI,2025-12-03 12:48:40
2005,2739,"Public Health, Environmental and Occupational Health",1,VI,2025-12-03 12:48:40
2005,2743,Reproductive Medicine,1,VI,2025-12-03 12:48:40
2005,3315,Communication,1,VI,2025-12-03 12:48:40
2006,2303,Ecology,11,VI,2025-12-03 12:48:40
2006,2306,Global and Planetary Change,5,VI,2025-12-03 12:48:40
2006,1910,Oceanography,4,VI,2025-12-03 12:48:40
2006,2309,Nature and Landscape Conservation,3,VI,2025-12-03 12:48:40
2006,1311,Genetics,2,VI,2025-12-03 12:48:40
2006,3312,Sociology and Political Science,2,VI,2025-12-03 12:48:40
2006,1109,Insect Science,1,VI,2025-12-03 12:48:40
2006,1110,Plant Science,1,VI,2025-12-03 12:48:40
2006,1407,Organizational Behavior and Human Resource Management,1,VI,2025-12-03 12:48:40
2006,1902,Atmospheric Science,1,VI,2025-12-03 12:48:40
2006,2212,Ocean Engineering,1,VI,2025-12-03 12:48:40
2006,2405,Parasitology,1,VI,2025-12-03 12:48:40
2006,2713,Epidemiology,1,VI,2025-12-03 12:48:40
2006,2739,"Public Health, Environmental and Occupational Health",1,VI,2025-12-03 12:48:40
2006,3103,Astronomy and Astrophysics,1,VI,2025-12-03 12:48:40
2006,3206,Neuropsychology and Physiological Psychology,1,VI,2025-12-03 12:48:40
2006,3305,"Geography, Planning and Development",1,VI,2025-12-03 12:48:40
2006,3306,Health,1,VI,2025-12-03 12:48:40
2006,3404,Small Animals,1,VI,2025-12-03 12:48:40
2006,3600,General Health Professions,1,VI,2025-12-03 12:48:40
2007,2303,Ecology,13,VI,2025-12-03 12:48:40
