subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,Advanced capabilities for materials modelling with Quantum ESPRESSO,https://doi.org/10.1088/1361-648x/aa8f79,2017,6740,https://openalex.org/W2757803490
2208,Electrical and Electronic Engineering,Federated Learning in Mobile Edge Networks: A Comprehensive Survey,https://doi.org/10.1109/comst.2020.2986024,2020,2164,https://openalex.org/W3015636663
2208,Electrical and Electronic Engineering,Recent Development of Oxygen Evolution Electrocatalysts in Acidic Environment,https://doi.org/10.1002/adma.202006328,2021,770,https://openalex.org/W3138305217
2208,Electrical and Electronic Engineering,Analytical Expressions for DG Allocation in Primary Distribution Networks,https://doi.org/10.1109/tec.2010.2044414,2010,723,https://openalex.org/W2128416740
2208,Electrical and Electronic Engineering,Dual‐horizon peridynamics,https://doi.org/10.1002/nme.5257,2016,683,https://openalex.org/W3126126937
2208,Electrical and Electronic Engineering,"An enhanced extreme learning machine model for river flow forecasting: State-of-the-art, practical applications in water resource engineering area and future research direction",https://doi.org/10.1016/j.jhydrol.2018.11.069,2018,665,https://openalex.org/W2905485021
2208,Electrical and Electronic Engineering,Dual-horizon peridynamics: A stable solution to varying horizons,https://doi.org/10.1016/j.cma.2016.12.031,2017,625,https://openalex.org/W2586421493
2208,Electrical and Electronic Engineering,Fueling the future: A comprehensive review of hydrogen energy systems and their challenges,https://doi.org/10.1016/j.ijhydene.2023.08.044,2023,567,https://openalex.org/W4386002604
2208,Electrical and Electronic Engineering,Integrating renewable sources into energy system for smart city as a sagacious strategy towards clean and sustainable process,https://doi.org/10.1016/j.jclepro.2021.127161,2021,554,https://openalex.org/W3156167489
2208,Electrical and Electronic Engineering,Arsenic removal technologies and future trends: A mini review,https://doi.org/10.1016/j.jclepro.2020.123805,2020,538,https://openalex.org/W3081464235
1312,Molecular Biology,UFBoot2: Improving the Ultrafast Bootstrap Approximation,https://doi.org/10.1093/molbev/msx281,2017,9724,https://openalex.org/W2951464304
1312,Molecular Biology,Monkeypox Virus Infection in Humans across 16 Countries — April–June 2022,https://doi.org/10.1056/nejmoa2207323,2022,2017,https://openalex.org/W4286383196
1312,Molecular Biology,The Loss of Species: Mangrove Extinction Risk and Geographic Areas of Global Concern,https://doi.org/10.1371/journal.pone.0010095,2010,1461,https://openalex.org/W2137372170
1312,Molecular Biology,Fluoro- and Chromogenic Chemodosimeters for Heavy Metal Ion Detection in Solution and Biospecimens,https://doi.org/10.1021/cr100154p,2010,1327,https://openalex.org/W2102255914
1312,Molecular Biology,Epigenetic Signatures of Cigarette Smoking,https://doi.org/10.1161/circgenetics.116.001506,2016,933,https://openalex.org/W2523285199
1312,Molecular Biology,Stem cell-based therapy for human diseases,https://doi.org/10.1038/s41392-022-01134-4,2022,917,https://openalex.org/W4289979044
1312,Molecular Biology,GraphDTA: predicting drug–target binding affinity with graph neural networks,https://doi.org/10.1093/bioinformatics/btaa921,2020,910,https://openalex.org/W3096561213
1312,Molecular Biology,Oseltamivir Resistance during Treatment of Influenza A (H5N1) Infection,https://doi.org/10.1056/nejmoa054512,2005,893,https://openalex.org/W2149087734
1312,Molecular Biology,Bioethanol production from renewable sources: Current perspectives and technological progress,https://doi.org/10.1016/j.rser.2016.12.076,2017,782,https://openalex.org/W2571407906
