year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,116,VN,2025-12-01 18:50:49
2005,3312,Sociology and Political Science,79,VN,2025-12-01 18:50:49
2005,1110,Plant Science,74,VN,2025-12-01 18:50:49
2005,1702,Artificial Intelligence,67,VN,2025-12-01 18:50:49
2005,2505,Materials Chemistry,62,VN,2025-12-01 18:50:49
2005,2208,Electrical and Electronic Engineering,60,VN,2025-12-01 18:50:49
2005,2002,Economics and Econometrics,45,VN,2025-12-01 18:50:49
2005,2210,Mechanical Engineering,43,VN,2025-12-01 18:50:49
2005,2204,Biomedical Engineering,40,VN,2025-12-01 18:50:49
2005,2207,Control and Systems Engineering,31,VN,2025-12-01 18:50:49
2005,2205,Civil and Structural Engineering,27,VN,2025-12-01 18:50:49
2005,3107,"Atomic and Molecular Physics, and Optics",23,VN,2025-12-01 18:50:49
2005,2739,"Public Health, Environmental and Occupational Health",18,VN,2025-12-01 18:50:49
2005,2211,Mechanics of Materials,16,VN,2025-12-01 18:50:49
2005,2504,"Electronic, Optical and Magnetic Materials",16,VN,2025-12-01 18:50:49
2005,1710,Information Systems,14,VN,2025-12-01 18:50:49
2005,1311,Genetics,13,VN,2025-12-01 18:50:49
2005,2403,Immunology,13,VN,2025-12-01 18:50:49
2005,2736,Pharmacology,13,VN,2025-12-01 18:50:49
2005,3104,Condensed Matter Physics,12,VN,2025-12-01 18:50:49
2005,1306,Cancer Research,11,VN,2025-12-01 18:50:49
2005,1605,Organic Chemistry,11,VN,2025-12-01 18:50:49
2005,1703,Computational Theory and Mathematics,11,VN,2025-12-01 18:50:49
2005,1705,Computer Networks and Communications,10,VN,2025-12-01 18:50:49
2005,2000,"General Economics, Econometrics and Finance",10,VN,2025-12-01 18:50:49
2005,2206,Computational Mechanics,10,VN,2025-12-01 18:50:49
2005,3304,Education,10,VN,2025-12-01 18:50:49
2005,3320,Political Science and International Relations,10,VN,2025-12-01 18:50:49
2005,2202,Aerospace Engineering,9,VN,2025-12-01 18:50:49
2005,2303,Ecology,9,VN,2025-12-01 18:50:49
2005,2713,Epidemiology,9,VN,2025-12-01 18:50:49
2005,1105,"Ecology, Evolution, Behavior and Systematics",8,VN,2025-12-01 18:50:49
2005,1106,Food Science,8,VN,2025-12-01 18:50:49
2005,1303,Biochemistry,8,VN,2025-12-01 18:50:49
2005,2003,Finance,8,VN,2025-12-01 18:50:49
2005,2503,Ceramics and Composites,8,VN,2025-12-01 18:50:49
2005,2725,Infectious Diseases,8,VN,2025-12-01 18:50:49
2005,1707,Computer Vision and Pattern Recognition,7,VN,2025-12-01 18:50:49
2005,2212,Ocean Engineering,7,VN,2025-12-01 18:50:49
2005,2502,Biomaterials,7,VN,2025-12-01 18:50:49
2005,1203,Language and Linguistics,6,VN,2025-12-01 18:50:49
2005,1307,Cell Biology,6,VN,2025-12-01 18:50:49
