subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,Change in mean temperature as a predictor of extreme temperature change in the Asia–Pacific region,https://doi.org/10.1002/joc.1194,2005,241,https://openalex.org/W2156652283
3312,Sociology and Political Science,"Small islands, valuable insights: systems of customary resource use and resilience to climate change in the Pacific",https://doi.org/10.5751/es-06937-190444,2014,202,https://openalex.org/W2058844845
3312,Sociology and Political Science,The coastal syndromes and hotspots on the coast,https://doi.org/10.1016/j.ecss.2011.07.012,2011,160,https://openalex.org/W1964627712
3312,Sociology and Political Science,Beyond men and women: a critical perspective on gender and disaster,https://doi.org/10.1111/disa.12209,2016,136,https://openalex.org/W2523177710
3312,Sociology and Political Science,"Decolonising <scp>P</scp>acific research, building <scp>P</scp>acific research communities and developing <scp>P</scp>acific research tools: The case of the talanoa and the faafaletui in <scp>S</scp>amoa",https://doi.org/10.1111/apv.12061,2014,123,https://openalex.org/W1583678667
3312,Sociology and Political Science,Adapting to Pacific Island mangrove responses to sea level rise and climate change,https://doi.org/10.3354/cr032161,2006,93,https://openalex.org/W2017093569
3312,Sociology and Political Science,A review of mental health and wellbeing under climate change in small island developing states (SIDS),https://doi.org/10.1088/1748-9326/abe57d,2021,80,https://openalex.org/W3130407780
3312,Sociology and Political Science,Alienation and obligation: Religion and social change in Samoa,https://doi.org/10.1111/j.1467-8373.2010.01410.x,2010,62,https://openalex.org/W2087664692
3312,Sociology and Political Science,Overcoming barriers to climate change information management in small island developing states: lessons from pacific SIDS,https://doi.org/10.1080/14693062.2018.1455573,2018,47,https://openalex.org/W2795637584
3312,Sociology and Political Science,"Coral reefs as buffers during the 2009 South Pacific tsunami, Upolu Island, Samoa",https://doi.org/10.1016/j.earscirev.2010.11.005,2010,46,https://openalex.org/W2042967951
2739,"Public Health, Environmental and Occupational Health",World Heart Federation criteria for echocardiographic diagnosis of rheumatic heart disease—an evidence-based guideline,https://doi.org/10.1038/nrcardio.2012.7,2012,778,https://openalex.org/W2166989282
2739,"Public Health, Environmental and Occupational Health",Association between a common immunoglobulin heavy chain allele and rheumatic heart disease risk in Oceania,https://doi.org/10.1038/ncomms14946,2017,146,https://openalex.org/W2613371971
2739,"Public Health, Environmental and Occupational Health","Dietary Patterns Are Associated with Metabolic Syndrome in Adult Samoans ,",https://doi.org/10.3945/jn.109.107888,2009,130,https://openalex.org/W2142749995
2739,"Public Health, Environmental and Occupational Health",Prevalence of adiposity and associated cardiometabolic risk factors in the samoan genome‐wide association study,https://doi.org/10.1002/ajhb.22553,2014,85,https://openalex.org/W1792523251
2739,"Public Health, Environmental and Occupational Health",2023 World Heart Federation guidelines for the echocardiographic diagnosis of rheumatic heart disease,https://doi.org/10.1038/s41569-023-00940-9,2023,83,https://openalex.org/W4388163013
2739,"Public Health, Environmental and Occupational Health",The influence of socioeconomic factors on cardiovascular disease risk factors in the context of economic development in the Samoan archipelago,https://doi.org/10.1016/j.socscimed.2006.06.023,2006,81,https://openalex.org/W2076963195
2739,"Public Health, Environmental and Occupational Health","Long‐term trends in food availability, food prices, and obesity in samoa",https://doi.org/10.1002/ajhb.22237,2012,77,https://openalex.org/W2013363191
2739,"Public Health, Environmental and Occupational Health",Nutrition and health in modernizing Samoans: temporal trends and adaptive perspectives,https://doi.org/10.1017/cbo9780511542510.008,2007,73,https://openalex.org/W1545135270
2739,"Public Health, Environmental and Occupational Health",Cancer control in the Pacific: big challenges facing small island states,https://doi.org/10.1016/s1470-2045(19)30400-0,2019,50,https://openalex.org/W2965148024
2739,"Public Health, Environmental and Occupational Health",Farming and adiposity in Samoan adults,https://doi.org/10.1002/ajhb.20469,2005,49,https://openalex.org/W2113153033
2303,Ecology,Major Conservation Policy Issues for Biodiversity in Oceania,https://doi.org/10.1111/j.1523-1739.2009.01287.x,2009,203,https://openalex.org/W2031816071
2303,Ecology,One size does not fit all: The emerging frontier in large-scale marine conservation,https://doi.org/10.1016/j.marpolbul.2013.10.039,2013,165,https://openalex.org/W2137375265
2303,Ecology,The Southwest Pacific Ocean circulation and climate experiment (SPICE),https://doi.org/10.1002/2013jc009678,2014,133,https://openalex.org/W2018838558
2303,Ecology,Taro Leaf Blight—A Threat to Food Security,https://doi.org/10.3390/agriculture2030182,2012,121,https://openalex.org/W2048527678
2303,Ecology,Pathways to sustaining tuna-dependent Pacific Island economies during climate change,https://doi.org/10.1038/s41893-021-00745-z,2021,96,https://openalex.org/W3185925954
2303,Ecology,"Long term monitoring of photosystem II herbicides – Correlation with remotely sensed freshwater extent to monitor changes in the quality of water entering the Great Barrier Reef, Australia",https://doi.org/10.1016/j.marpolbul.2011.10.029,2011,90,https://openalex.org/W2034223181
2303,Ecology,Why they must be counted: Significant contributions of Fijian women fishers to food security and livelihoods,https://doi.org/10.1016/j.ocecoaman.2021.105571,2021,58,https://openalex.org/W3135630071
2303,Ecology,Synergies between local and climate-driven impacts on coral reefs in the Tropical Pacific: A review of issues and adaptation opportunities,https://doi.org/10.1016/j.marpolbul.2020.111922,2021,54,https://openalex.org/W3132982228
2303,Ecology,Impacts of marine heatwaves on tropical western and central Pacific Island nations and their communities,https://doi.org/10.1016/j.gloplacha.2021.103680,2021,50,https://openalex.org/W3210157898
2303,Ecology,Whales in warming water: Assessing breeding habitat diversity and adaptability in Oceania's changing climate,https://doi.org/10.1111/gcb.14563,2019,48,https://openalex.org/W2907710324
3317,Demography,"Small islands, valuable insights: systems of customary resource use and resilience to climate change in the Pacific",https://doi.org/10.5751/es-06937-190444,2014,202,https://openalex.org/W2058844845
3317,Demography,"Decolonising <scp>P</scp>acific research, building <scp>P</scp>acific research communities and developing <scp>P</scp>acific research tools: The case of the talanoa and the faafaletui in <scp>S</scp>amoa",https://doi.org/10.1111/apv.12061,2014,123,https://openalex.org/W1583678667
3317,Demography,Adapting to Pacific Island mangrove responses to sea level rise and climate change,https://doi.org/10.3354/cr032161,2006,93,https://openalex.org/W2017093569
3317,Demography,Alienation and obligation: Religion and social change in Samoa,https://doi.org/10.1111/j.1467-8373.2010.01410.x,2010,62,https://openalex.org/W2087664692
3317,Demography,Why they must be counted: Significant contributions of Fijian women fishers to food security and livelihoods,https://doi.org/10.1016/j.ocecoaman.2021.105571,2021,58,https://openalex.org/W3135630071
3317,Demography,Synergies between local and climate-driven impacts on coral reefs in the Tropical Pacific: A review of issues and adaptation opportunities,https://doi.org/10.1016/j.marpolbul.2020.111922,2021,54,https://openalex.org/W3132982228
3317,Demography,Reducing the climate vulnerability of coastal communities in Samoa,https://doi.org/10.1002/jid.1678,2010,40,https://openalex.org/W2069344508
3317,Demography,Pacific Climate Cultures,https://doi.org/10.2478/9783110591415,2018,39,https://openalex.org/W2891352414
3317,Demography,A social and ecological imperative for ecosystem-based adaptation to climate change in the Pacific Islands,https://doi.org/10.1007/s11625-013-0217-5,2013,35,https://openalex.org/W2071539924
3317,Demography,Traditional or contemporary weather and climate forecasts: reaching Pacific communities,https://doi.org/10.1007/s10113-019-01487-7,2019,30,https://openalex.org/W2935021068
1110,Plant Science,Phylogeographical analysis of the dominant multidrug-resistant H58 clade of Salmonella Typhi identifies inter- and intracontinental transmission events,https://doi.org/10.1038/ng.3281,2015,479,https://openalex.org/W1779315825
1110,Plant Science,Taro Leaf Blight—A Threat to Food Security,https://doi.org/10.3390/agriculture2030182,2012,121,https://openalex.org/W2048527678
1110,Plant Science,"A review on structural, digestibility and physicochemical properties of legume starch-lipid complexes",https://doi.org/10.1016/j.foodchem.2021.129165,2021,88,https://openalex.org/W3125592358
1110,Plant Science,Potential of mango (<i>Mangifera indica</i> L.) seed kernel as a feed ingredient for poultry: a review,https://doi.org/10.1017/s0043933914000294,2014,58,https://openalex.org/W2063433023
1110,Plant Science,Soil nitrogen storage and availability to crops are increased by conservation agriculture practices in rice–based cropping systems in the Eastern Gangetic Plains,https://doi.org/10.1016/j.fcr.2020.107764,2020,56,https://openalex.org/W3008410552
1110,Plant Science,Impact of irrigation management on paddy soil N supply and depth distribution of abiotic drivers,https://doi.org/10.1016/j.agee.2018.03.015,2018,42,https://openalex.org/W2795619583
1110,Plant Science,Response of hydrolytic enzyme activities and nitrogen mineralization to fertilizer and organic matter application in subtropical paddy soils,https://doi.org/10.1016/j.ejsobi.2017.03.004,2017,37,https://openalex.org/W2604279155
1110,Plant Science,"Social benefit cost analysis of ecosystem-based climate change adaptations: a community-level case study in Tanna Island, Vanuatu",https://doi.org/10.1080/17565529.2019.1642179,2019,31,https://openalex.org/W2965816558
1110,Plant Science,Link between paddy soil mineral nitrogen release and iron and manganese reduction examined in a rice pot growth experiment,https://doi.org/10.1016/j.geoderma.2018.04.002,2018,30,https://openalex.org/W2798152303
1110,Plant Science,Bread-making potential of heat-moisture treated cassava flour-additive complexes,https://doi.org/10.1016/j.lwt.2020.109477,2020,29,https://openalex.org/W3033140265
1311,Genetics,Conservation of oceanic island floras: Present and future global challenges,https://doi.org/10.1016/j.ppees.2009.10.001,2010,395,https://openalex.org/W2164756615
1311,Genetics,A thrifty variant in CREBRF strongly influences body mass index in Samoans,https://doi.org/10.1038/ng.3620,2016,271,https://openalex.org/W2488609201
1311,Genetics,The Predominance of Type I Oligosaccharides Is a Feature Specific to Human Breast Milk,https://doi.org/10.3945/an.111.001412,2012,212,https://openalex.org/W2139787411
1311,Genetics,A framework for detecting noncoding rare-variant associations of large-scale whole-genome sequencing studies,https://doi.org/10.1038/s41592-022-01640-x,2022,93,https://openalex.org/W4307838508
1311,Genetics,Prevalence of adiposity and associated cardiometabolic risk factors in the samoan genome‐wide association study,https://doi.org/10.1002/ajhb.22553,2014,85,https://openalex.org/W1792523251
1311,Genetics,Somatic evolution and global expansion of an ancient transmissible cancer lineage,https://doi.org/10.1126/science.aau9923,2019,79,https://openalex.org/W2966830776
1311,Genetics,Discordant association of the CREBRF rs373863828 A allele with increased BMI and protection from type 2 diabetes in Māori and Pacific (Polynesian) people living in Aotearoa/New Zealand,https://doi.org/10.1007/s00125-018-4623-1,2018,76,https://openalex.org/W2952130055
1311,Genetics,"Whole genome sequence analysis of blood lipid levels in &gt;66,000 individuals",https://doi.org/10.1038/s41467-022-33510-7,2022,67,https://openalex.org/W4304193755
1311,Genetics,A loss-of-function <i>IFNAR1</i> allele in Polynesia underlies severe viral diseases in homozygotes,https://doi.org/10.1084/jem.20220028,2022,58,https://openalex.org/W4224256083
1311,Genetics,"Powerful, scalable and resource-efficient meta-analysis of rare variant associations in large whole genome sequencing studies",https://doi.org/10.1038/s41588-022-01225-6,2022,53,https://openalex.org/W4312181330
3305,"Geography, Planning and Development",Major Conservation Policy Issues for Biodiversity in Oceania,https://doi.org/10.1111/j.1523-1739.2009.01287.x,2009,203,https://openalex.org/W2031816071
3305,"Geography, Planning and Development","Small islands, valuable insights: systems of customary resource use and resilience to climate change in the Pacific",https://doi.org/10.5751/es-06937-190444,2014,202,https://openalex.org/W2058844845
3305,"Geography, Planning and Development","Decolonising <scp>P</scp>acific research, building <scp>P</scp>acific research communities and developing <scp>P</scp>acific research tools: The case of the talanoa and the faafaletui in <scp>S</scp>amoa",https://doi.org/10.1111/apv.12061,2014,123,https://openalex.org/W1583678667
3305,"Geography, Planning and Development",Taro Leaf Blight—A Threat to Food Security,https://doi.org/10.3390/agriculture2030182,2012,121,https://openalex.org/W2048527678
3305,"Geography, Planning and Development",A social and ecological imperative for ecosystem-based adaptation to climate change in the Pacific Islands,https://doi.org/10.1007/s11625-013-0217-5,2013,35,https://openalex.org/W2071539924
3305,"Geography, Planning and Development",Evolutionary history of modern Samoans,https://doi.org/10.1073/pnas.1913157117,2020,33,https://openalex.org/W3015880664
3305,"Geography, Planning and Development",Cascading loss and loss risk multipliers amid a changing climate in the Pacific Islands,https://doi.org/10.1007/s13280-021-01640-9,2021,31,https://openalex.org/W3207657757
3305,"Geography, Planning and Development",Protocols and Partnerships for Engaging Pacific Island Communities in the Collection and Use of Traditional Climate Knowledge,https://doi.org/10.1175/bams-d-17-0163.1,2018,29,https://openalex.org/W2888634610
3305,"Geography, Planning and Development",Traditional knowledge for climate resilience in the Pacific Islands,https://doi.org/10.1002/wcc.882,2024,24,https://openalex.org/W4392594897
3305,"Geography, Planning and Development",Chronogeographic Variation in Initial East Polynesian Construction of Monumental Ceremonial Sites,https://doi.org/10.1080/15564894.2013.834009,2013,24,https://openalex.org/W2136355457
3600,General Health Professions,Factors influencing the sustainability of digital health interventions in low-resource settings: Lessons from five countries,https://doi.org/10.7189/jogh.10.020396,2020,63,https://openalex.org/W3109417037
