subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,XPS and optical studies of different morphologies of ZnO nanostructures prepared by microwave methods,https://doi.org/10.1016/j.ceramint.2012.08.075,2012,1119,https://openalex.org/W1976877249
2208,Electrical and Electronic Engineering,IoT-Based Healthcare-Monitoring System towards Improving Quality of Life: A Review,https://doi.org/10.3390/healthcare10101993,2022,289,https://openalex.org/W4304585049
2208,Electrical and Electronic Engineering,Renewable and sustainable energy production in Saudi Arabia according to Saudi Vision 2030; Current status and future prospects,https://doi.org/10.1016/j.jclepro.2019.119602,2019,287,https://openalex.org/W2992440055
2505,Materials Chemistry,XPS and structural studies of high quality graphene oxide and reduced graphene oxide prepared by different chemical oxidation methods,https://doi.org/10.1016/j.ceramint.2019.04.165,2019,1137,https://openalex.org/W2935722648
2505,Materials Chemistry,XPS and optical studies of different morphologies of ZnO nanostructures prepared by microwave methods,https://doi.org/10.1016/j.ceramint.2012.08.075,2012,1119,https://openalex.org/W1976877249
2505,Materials Chemistry,Clean production and properties of geopolymer concrete; A review,https://doi.org/10.1016/j.jclepro.2019.119679,2019,789,https://openalex.org/W2996255907
1702,Artificial Intelligence,Kepler optimization algorithm: A new metaheuristic algorithm inspired by Kepler’s laws of planetary motion,https://doi.org/10.1016/j.knosys.2023.110454,2023,444,https://openalex.org/W4323922821
1702,Artificial Intelligence,Nutcracker optimizer: A novel nature-inspired metaheuristic algorithm for global optimization and engineering design problems,https://doi.org/10.1016/j.knosys.2022.110248,2023,353,https://openalex.org/W4313479115
1702,Artificial Intelligence,Spider wasp optimizer: a novel meta-heuristic optimization algorithm,https://doi.org/10.1007/s10462-023-10446-y,2023,271,https://openalex.org/W4360980642
1312,Molecular Biology,Global Burden of Multiple Myeloma,https://doi.org/10.1001/jamaoncol.2018.2128,2018,581,https://openalex.org/W2803679599
1312,Molecular Biology,The alphabet of intrinsic disorder,https://doi.org/10.4161/idp.24360,2013,281,https://openalex.org/W1501347866
1312,Molecular Biology,Inflammatory bacteriome featuring Fusobacterium nucleatum and Pseudomonas aeruginosa identified in association with oral squamous cell carcinoma,https://doi.org/10.1038/s41598-017-02079-3,2017,280,https://openalex.org/W2591721313
2210,Mechanical Engineering,Enhance heat transfer for PCM melting in triplex tube with internal–external fins,https://doi.org/10.1016/j.enconman.2013.05.003,2013,546,https://openalex.org/W2002574141
2210,Mechanical Engineering,Internal and external fin heat transfer enhancement technique for latent heat thermal energy storage in triplex tube heat exchangers,https://doi.org/10.1016/j.applthermaleng.2013.01.011,2013,508,https://openalex.org/W2046674818
2210,Mechanical Engineering,Geometric and design parameters of fins employed for enhancing thermal energy storage systems: a review,https://doi.org/10.1016/j.rser.2017.07.009,2017,384,https://openalex.org/W2734400831
2204,Biomedical Engineering,XPS and structural studies of high quality graphene oxide and reduced graphene oxide prepared by different chemical oxidation methods,https://doi.org/10.1016/j.ceramint.2019.04.165,2019,1137,https://openalex.org/W2935722648
2204,Biomedical Engineering,Ordered mesoporous Ag-doped TiO<sub>2</sub>/SnO<sub>2</sub> nanocomposite based highly sensitive and selective VOC sensors,https://doi.org/10.1039/c5ta08336b,2015,227,https://openalex.org/W2185726695
2204,Biomedical Engineering,Application of Calcium Phosphate Materials in Dentistry,https://doi.org/10.1155/2013/876132,2013,227,https://openalex.org/W2059017071
2739,"Public Health, Environmental and Occupational Health",Rising rural body-mass index is the main driver of the global obesity epidemic in adults,https://doi.org/10.1038/s41586-019-1171-x,2019,697,https://openalex.org/W2945386046
2739,"Public Health, Environmental and Occupational Health","Characteristics, complications, and gaps in evidence-based interventions in rheumatic heart disease: the Global Rheumatic Heart Disease Registry (the REMEDY study)",https://doi.org/10.1093/eurheartj/ehu449,2014,528,https://openalex.org/W2107167967
2739,"Public Health, Environmental and Occupational Health",Herbal medicines safety issues,https://doi.org/10.1016/b978-0-12-819837-7.00014-5,2020,382,https://openalex.org/W3033847278
1710,Information Systems,Mobile Health Apps on COVID-19 Launched in the Early Days of the Pandemic: Content Analysis and Review,https://doi.org/10.2196/19796,2020,585,https://openalex.org/W3038855713
1710,Information Systems,IoT-Based Healthcare-Monitoring System towards Improving Quality of Life: A Review,https://doi.org/10.3390/healthcare10101993,2022,289,https://openalex.org/W4304585049
1710,Information Systems,Internet of Things in Higher Education: A Study on Future Learning,https://doi.org/10.1088/1742-6596/892/1/012017,2017,233,https://openalex.org/W2760753806
1110,Plant Science,Textile finishing dyes and their impact on aquatic environs,https://doi.org/10.1016/j.heliyon.2019.e02711,2019,837,https://openalex.org/W2986940521
1110,Plant Science,Fumigant and Contact Toxicities of Monoterpenes to Sitophilus oryzae (L.) and Tribolium castaneum (Herbst) and their Inhibitory Effects on Acetylcholinesterase Activity,https://doi.org/10.1007/s10886-009-9635-3,2009,389,https://openalex.org/W2109379098
1110,Plant Science,"Coriandrum sativum L.:A review on ethnopharmacology, phytochemistry, and cardiovascular benefits",,2022,383,https://openalex.org/W4207041497
3312,Sociology and Political Science,Herding in online product choice,https://doi.org/10.1002/mar.20119,2006,430,https://openalex.org/W2043091333
3312,Sociology and Political Science,Globalization and Similarities in Corporate Governance: A Cross-Country Analysis,https://doi.org/10.1162/rest.2006.88.1.69,2006,265,https://openalex.org/W3122648918
3312,Sociology and Political Science,Exploring the Impact of the COVID-19 Pandemic on University Students’ Learning Life: An Integrated Conceptual Motivational Model for Sustainable and Healthy Online Learning,https://doi.org/10.3390/su13052546,2021,253,https://openalex.org/W3134726140
