year,id,name,works_count,country,fetch_date
2005,3312,Sociology and Political Science,708,ZA,2025-12-03 12:07:19
2005,1312,Molecular Biology,592,ZA,2025-12-03 12:07:19
2005,1110,Plant Science,537,ZA,2025-12-03 12:07:19
2005,3304,Education,459,ZA,2025-12-03 12:07:19
2005,3600,General Health Professions,423,ZA,2025-12-03 12:07:19
2005,2303,Ecology,421,ZA,2025-12-03 12:07:19
2005,2739,"Public Health, Environmental and Occupational Health",397,ZA,2025-12-03 12:07:19
2005,2713,Epidemiology,390,ZA,2025-12-03 12:07:19
2005,2725,Infectious Diseases,365,ZA,2025-12-03 12:07:19
2005,2002,Economics and Econometrics,327,ZA,2025-12-03 12:07:19
2005,1105,"Ecology, Evolution, Behavior and Systematics",170,ZA,2025-12-03 12:07:19
2005,2309,Nature and Landscape Conservation,143,ZA,2025-12-03 12:07:19
2005,1311,Genetics,134,ZA,2025-12-03 12:07:19
2005,2735,"Pediatrics, Perinatology and Child Health",125,ZA,2025-12-03 12:07:19
2005,3320,Political Science and International Relations,117,ZA,2025-12-03 12:07:19
2005,3308,Law,110,ZA,2025-12-03 12:07:19
2005,2306,Global and Planetary Change,105,ZA,2025-12-03 12:07:19
2005,1212,Religious studies,92,ZA,2025-12-03 12:07:19
2005,3311,Safety Research,91,ZA,2025-12-03 12:07:19
2005,1307,Cell Biology,87,ZA,2025-12-03 12:07:19
2005,2746,Surgery,86,ZA,2025-12-03 12:07:19
2005,1106,Food Science,81,ZA,2025-12-03 12:07:19
2005,2916,Nutrition and Dietetics,80,ZA,2025-12-03 12:07:19
2005,2406,Virology,75,ZA,2025-12-03 12:07:19
2005,3207,Social Psychology,71,ZA,2025-12-03 12:07:19
2005,3204,Developmental and Educational Psychology,67,ZA,2025-12-03 12:07:19
2005,3203,Clinical Psychology,66,ZA,2025-12-03 12:07:19
2005,3314,Anthropology,62,ZA,2025-12-03 12:07:19
2005,2737,Physiology,59,ZA,2025-12-03 12:07:19
2005,3318,Gender Studies,56,ZA,2025-12-03 12:07:19
2005,1208,Literature and Literary Theory,55,ZA,2025-12-03 12:07:19
2005,2403,Immunology,54,ZA,2025-12-03 12:07:19
2005,2730,Oncology,53,ZA,2025-12-03 12:07:19
2005,1102,Agronomy and Crop Science,49,ZA,2025-12-03 12:07:19
2005,1109,Insect Science,49,ZA,2025-12-03 12:07:19
2005,1407,Organizational Behavior and Human Resource Management,49,ZA,2025-12-03 12:07:19
2005,2308,"Management, Monitoring, Policy and Law",44,ZA,2025-12-03 12:07:19
2005,1710,Information Systems,43,ZA,2025-12-03 12:07:19
2005,2404,Microbiology,43,ZA,2025-12-03 12:07:19
