year,id,name,works_count,country,fetch_date
2005,2725,Infectious Diseases,34,ZM,2025-12-03 12:28:25
2005,3600,General Health Professions,26,ZM,2025-12-03 12:28:25
2005,2713,Epidemiology,17,ZM,2025-12-03 12:28:25
2005,2002,Economics and Econometrics,14,ZM,2025-12-03 12:28:25
2005,3312,Sociology and Political Science,13,ZM,2025-12-03 12:28:25
2005,2735,"Pediatrics, Perinatology and Child Health",12,ZM,2025-12-03 12:28:25
2005,2739,"Public Health, Environmental and Occupational Health",11,ZM,2025-12-03 12:28:25
2005,2746,Surgery,7,ZM,2025-12-03 12:28:25
2005,2405,Parasitology,6,ZM,2025-12-03 12:28:25
2005,2406,Virology,6,ZM,2025-12-03 12:28:25
2005,2916,Nutrition and Dietetics,6,ZM,2025-12-03 12:28:25
2005,3304,Education,5,ZM,2025-12-03 12:28:25
2005,2003,Finance,4,ZM,2025-12-03 12:28:25
2005,3311,Safety Research,4,ZM,2025-12-03 12:28:25
2005,2711,Emergency Medicine,3,ZM,2025-12-03 12:28:25
2005,2729,Obstetrics and Gynecology,3,ZM,2025-12-03 12:28:25
2005,3203,Clinical Psychology,3,ZM,2025-12-03 12:28:25
2005,3207,Social Psychology,3,ZM,2025-12-03 12:28:25
2005,3604,Emergency Medical Services,3,ZM,2025-12-03 12:28:25
2005,1105,"Ecology, Evolution, Behavior and Systematics",2,ZM,2025-12-03 12:28:25
2005,1111,Soil Science,2,ZM,2025-12-03 12:28:25
2005,1311,Genetics,2,ZM,2025-12-03 12:28:25
2005,1407,Organizational Behavior and Human Resource Management,2,ZM,2025-12-03 12:28:25
2005,2212,Ocean Engineering,2,ZM,2025-12-03 12:28:25
2005,2731,Ophthalmology,2,ZM,2025-12-03 12:28:25
2005,2734,Pathology and Forensic Medicine,2,ZM,2025-12-03 12:28:25
2005,3303,Development,2,ZM,2025-12-03 12:28:25
2005,3306,Health,2,ZM,2025-12-03 12:28:25
2005,3318,Gender Studies,2,ZM,2025-12-03 12:28:25
2005,3605,Health Information Management,2,ZM,2025-12-03 12:28:25
2005,1211,Philosophy,1,ZM,2025-12-03 12:28:25
2005,1312,Molecular Biology,1,ZM,2025-12-03 12:28:25
2005,1703,Computational Theory and Mathematics,1,ZM,2025-12-03 12:28:25
2005,1710,Information Systems,1,ZM,2025-12-03 12:28:25
2005,2310,Pollution,1,ZM,2025-12-03 12:28:25
2005,2311,Industrial and Manufacturing Engineering,1,ZM,2025-12-03 12:28:25
2005,2404,Microbiology,1,ZM,2025-12-03 12:28:25
2005,2611,Modeling and Simulation,1,ZM,2025-12-03 12:28:25
2005,2720,Hematology,1,ZM,2025-12-03 12:28:25
2005,2730,Oncology,1,ZM,2025-12-03 12:28:25
2005,2736,Pharmacology,1,ZM,2025-12-03 12:28:25
2005,2737,Physiology,1,ZM,2025-12-03 12:28:25
2005,2738,Psychiatry and Mental health,1,ZM,2025-12-03 12:28:25
2005,2740,Pulmonary and Respiratory Medicine,1,ZM,2025-12-03 12:28:25
2005,2745,Rheumatology,1,ZM,2025-12-03 12:28:25
2005,3004,Pharmacology,1,ZM,2025-12-03 12:28:25
2005,3005,Toxicology,1,ZM,2025-12-03 12:28:25
2005,3310,Linguistics and Language,1,ZM,2025-12-03 12:28:25
2005,3314,Anthropology,1,ZM,2025-12-03 12:28:25
2005,3316,Cultural Studies,1,ZM,2025-12-03 12:28:25
2005,3317,Demography,1,ZM,2025-12-03 12:28:25
2005,3320,Political Science and International Relations,1,ZM,2025-12-03 12:28:25
2005,3322,Urban Studies,1,ZM,2025-12-03 12:28:25
2005,3616,Speech and Hearing,1,ZM,2025-12-03 12:28:25
2006,2725,Infectious Diseases,59,ZM,2025-12-03 12:28:25
2006,2713,Epidemiology,30,ZM,2025-12-03 12:28:25
2006,3600,General Health Professions,29,ZM,2025-12-03 12:28:25
2006,2735,"Pediatrics, Perinatology and Child Health",22,ZM,2025-12-03 12:28:25
