id,name,us_works_count,fetch_date,since_year
2208,Electrical and Electronic Engineering,967580,2025-11-20 10:59:23,2005
2204,Biomedical Engineering,863032,2025-11-20 10:59:23,2005
1702,Artificial Intelligence,667123,2025-11-20 10:59:23,2005
2505,Materials Chemistry,641607,2025-11-20 10:59:23,2005
3103,Astronomy and Astrophysics,523019,2025-11-20 10:59:23,2005
1908,Geophysics,461870,2025-11-20 10:59:23,2005
2303,Ecology,453708,2025-11-20 10:59:23,2005
1312,Molecular Biology,453447,2025-11-20 10:59:23,2005
3107,"Atomic and Molecular Physics, and Optics",446065,2025-11-20 10:59:23,2005
2306,Global and Planetary Change,403819,2025-11-20 10:59:23,2005
