subfield_id,subfield_name,funder_id,funder_name,subfield_works_count,total_works_count,country_scope
2208,Electrical and Electronic Engineering,F4320321001,National Natural Science Foundation of China,494745,0,Global
2505,Materials Chemistry,F4320321001,National Natural Science Foundation of China,439944,0,Global
2204,Biomedical Engineering,F4320321001,National Natural Science Foundation of China,314842,0,Global
2210,Mechanical Engineering,F4320321001,National Natural Science Foundation of China,244277,0,Global
1702,Artificial Intelligence,F4320321001,National Natural Science Foundation of China,138138,0,Global
1710,Information Systems,F4320321001,National Natural Science Foundation of China,32575,0,Global
1605,Organic Chemistry,F4320321001,National Natural Science Foundation of China,116376,0,Global
3107,"Atomic and Molecular Physics, and Optics",F4320321001,National Natural Science Foundation of China,127153,0,Global
2207,Control and Systems Engineering,F4320321001,National Natural Science Foundation of China,126731,0,Global
1705,Computer Networks and Communications,F4320321001,National Natural Science Foundation of China,89742,0,Global
