subfield_id,subfield_name,funder_id,funder_name,subfield_works_count,total_works_count,country_code
2208,Electrical and Electronic Engineering,F4320306076,National Science Foundation,44547,0,Unknown
2204,Biomedical Engineering,F4320306076,National Science Foundation,31672,0,Unknown
2505,Materials Chemistry,F4320306076,National Science Foundation,38289,0,Unknown
3107,"Atomic and Molecular Physics, and Optics",F4320306076,National Science Foundation,36844,0,Unknown
1702,Artificial Intelligence,F4320306076,National Science Foundation,26205,0,Unknown
3103,Astronomy and Astrophysics,F4320306101,National Aeronautics and Space Administration,18814,0,Unknown
1312,Molecular Biology,F4320332161,National Institutes of Health,123868,0,Unknown
2210,Mechanical Engineering,F4320306076,National Science Foundation,13340,0,Unknown
2303,Ecology,F4320306076,National Science Foundation,20765,0,Unknown
2202,Aerospace Engineering,F4320306076,National Science Foundation,8627,0,Unknown
