year,id,name,us_works_count,fetch_date
2005,2208,Electrical and Electronic Engineering,46745,2025-11-20 11:02:29
2005,2204,Biomedical Engineering,29755,2025-11-20 11:02:29
2005,3107,"Atomic and Molecular Physics, and Optics",24581,2025-11-20 11:02:29
2005,1702,Artificial Intelligence,23434,2025-11-20 11:02:29
2005,2505,Materials Chemistry,23359,2025-11-20 11:02:29
2005,1705,Computer Networks and Communications,22422,2025-11-20 11:02:29
2005,2202,Aerospace Engineering,17539,2025-11-20 11:02:29
2005,1312,Molecular Biology,15971,2025-11-20 11:02:29
2005,2210,Mechanical Engineering,15919,2025-11-20 11:02:29
2005,3103,Astronomy and Astrophysics,14267,2025-11-20 11:02:29
2006,2208,Electrical and Electronic Engineering,46566,2025-11-20 11:02:29
2006,2204,Biomedical Engineering,31939,2025-11-20 11:02:29
2006,2505,Materials Chemistry,27433,2025-11-20 11:02:29
2006,3107,"Atomic and Molecular Physics, and Optics",24242,2025-11-20 11:02:29
2006,1702,Artificial Intelligence,22849,2025-11-20 11:02:29
2006,1705,Computer Networks and Communications,22215,2025-11-20 11:02:29
2006,1312,Molecular Biology,18601,2025-11-20 11:02:29
2006,2202,Aerospace Engineering,15936,2025-11-20 11:02:29
2006,2210,Mechanical Engineering,15684,2025-11-20 11:02:29
2006,2303,Ecology,15065,2025-11-20 11:02:29
2007,2208,Electrical and Electronic Engineering,42327,2025-11-20 11:02:29
2007,2204,Biomedical Engineering,30942,2025-11-20 11:02:29
2007,2505,Materials Chemistry,24527,2025-11-20 11:02:29
2007,3107,"Atomic and Molecular Physics, and Optics",22999,2025-11-20 11:02:29
2007,1702,Artificial Intelligence,22733,2025-11-20 11:02:29
2007,1705,Computer Networks and Communications,20832,2025-11-20 11:02:29
2007,1312,Molecular Biology,17505,2025-11-20 11:02:29
2007,2303,Ecology,15317,2025-11-20 11:02:29
2007,2202,Aerospace Engineering,15126,2025-11-20 11:02:29
2007,2210,Mechanical Engineering,15091,2025-11-20 11:02:29
2008,2208,Electrical and Electronic Engineering,43327,2025-11-20 11:02:29
2008,2204,Biomedical Engineering,33422,2025-11-20 11:02:29
2008,2505,Materials Chemistry,26069,2025-11-20 11:02:29
2008,1702,Artificial Intelligence,23127,2025-11-20 11:02:29
2008,3107,"Atomic and Molecular Physics, and Optics",22150,2025-11-20 11:02:29
2008,1705,Computer Networks and Communications,21554,2025-11-20 11:02:29
2008,1312,Molecular Biology,19846,2025-11-20 11:02:29
2008,2303,Ecology,19261,2025-11-20 11:02:29
2008,2210,Mechanical Engineering,16626,2025-11-20 11:02:29
2008,3103,Astronomy and Astrophysics,15707,2025-11-20 11:02:29
2009,2208,Electrical and Electronic Engineering,42570,2025-11-20 11:02:29
2009,2204,Biomedical Engineering,34638,2025-11-20 11:02:29
2009,2505,Materials Chemistry,26077,2025-11-20 11:02:29
2009,1702,Artificial Intelligence,23612,2025-11-20 11:02:29
2009,3107,"Atomic and Molecular Physics, and Optics",22534,2025-11-20 11:02:29
2009,1312,Molecular Biology,22169,2025-11-20 11:02:29
2009,1705,Computer Networks and Communications,20854,2025-11-20 11:02:29
2009,2303,Ecology,20270,2025-11-20 11:02:29
2009,2210,Mechanical Engineering,15638,2025-11-20 11:02:29
2009,3103,Astronomy and Astrophysics,15110,2025-11-20 11:02:29
2010,2208,Electrical and Electronic Engineering,45551,2025-11-20 11:02:29
2010,2204,Biomedical Engineering,37795,2025-11-20 11:02:29
2010,2505,Materials Chemistry,26855,2025-11-20 11:02:29
2010,1702,Artificial Intelligence,24179,2025-11-20 11:02:29
2010,3107,"Atomic and Molecular Physics, and Optics",22580,2025-11-20 11:02:29
2010,1312,Molecular Biology,22275,2025-11-20 11:02:29
2010,1705,Computer Networks and Communications,20989,2025-11-20 11:02:29
2010,2303,Ecology,19694,2025-11-20 11:02:29
2010,2210,Mechanical Engineering,16235,2025-11-20 11:02:29
