subfield_id,subfield_name,funder_id,funder_name,subfield_works_count,total_works_count,country_code,fetch_date
2208,Electrical and Electronic Engineering,F4320306076,National Science Foundation,44546,387300,US,2025-11-15 21:06:18
2204,Biomedical Engineering,F4320306076,National Science Foundation,31671,387300,US,2025-11-15 21:06:18
2505,Materials Chemistry,F4320306076,National Science Foundation,38288,387300,US,2025-11-15 21:06:18
3107,"Atomic and Molecular Physics, and Optics",F4320306076,National Science Foundation,36844,387300,US,2025-11-15 21:06:18
1702,Artificial Intelligence,F4320306076,National Science Foundation,26203,387300,US,2025-11-15 21:06:18
3103,Astronomy and Astrophysics,F4320306101,National Aeronautics and Space Administration,18811,48964,US,2025-11-15 21:06:18
1312,Molecular Biology,F4320332161,National Institutes of Health,123868,391783,US,2025-11-15 21:06:18
2210,Mechanical Engineering,F4320306076,National Science Foundation,13340,387300,US,2025-11-15 21:06:18
2303,Ecology,F4320306076,National Science Foundation,20764,387300,US,2025-11-15 21:06:18
2202,Aerospace Engineering,F4320306076,National Science Foundation,8627,387300,US,2025-11-15 21:06:18
