id,name,us_works_count,fetch_date
2208,Electrical and Electronic Engineering,1627383,2025-11-15 21:06:18
2204,Biomedical Engineering,1316473,2025-11-15 21:06:18
2505,Materials Chemistry,1100591,2025-11-15 21:06:18
3107,"Atomic and Molecular Physics, and Optics",998340,2025-11-15 21:06:18
1702,Artificial Intelligence,951951,2025-11-15 21:06:18
3103,Astronomy and Astrophysics,783005,2025-11-15 21:06:18
1312,Molecular Biology,751133,2025-11-15 21:06:18
2210,Mechanical Engineering,729297,2025-11-15 21:06:18
2303,Ecology,704310,2025-11-15 21:06:18
2202,Aerospace Engineering,690609,2025-11-15 21:06:18
