id,name,field,subfield,us_works_count,fetch_date
T10675,Mechanical Circulatory Support Devices,Unknown,Unknown,61076,2025-11-15 21:06:18
T11667,Advanced Chemical Sensor Technologies,Unknown,Unknown,52660,2025-11-15 21:06:18
T10784,Muscle activation and electromyography studies,Unknown,Unknown,52192,2025-11-15 21:06:18
T12386,Advanced X-ray and CT Imaging,Unknown,Unknown,47789,2025-11-15 21:06:18
T10338,Advanced Sensor and Energy Harvesting Materials,Unknown,Unknown,47354,2025-11-15 21:06:18
T11190,3D Printing in Biomedical Research,Unknown,Unknown,46794,2025-11-15 21:06:18
T10412,Microfluidic and Capillary Electrophoresis Applications,Unknown,Unknown,45817,2025-11-15 21:06:18
T11808,Superconducting Materials and Applications,Unknown,Unknown,45667,2025-11-15 21:06:18
T12015,Photoacoustic and Ultrasonic Imaging,Unknown,Unknown,42027,2025-11-15 21:06:18
T11160,Acoustic Wave Resonator Technologies,Unknown,Unknown,39954,2025-11-15 21:06:18
T11255,Microfluidic and Bio-sensing Technologies,Unknown,Unknown,39638,2025-11-15 21:06:18
T10402,Phase Equilibria and Thermodynamics,Unknown,Unknown,36194,2025-11-15 21:06:18
T10822,Acoustic Wave Phenomena Research,Unknown,Unknown,35304,2025-11-15 21:06:18
T10171,Biofuel production and bioconversion,Unknown,Unknown,34885,2025-11-15 21:06:18
T13280,Biomedical and Engineering Education,Unknown,Unknown,33644,2025-11-15 21:06:18
T11301,Advanced Surface Polishing Techniques,Unknown,Unknown,32477,2025-11-15 21:06:18
T10059,Bone Tissue Engineering Materials,Unknown,Unknown,30338,2025-11-15 21:06:18
T10782,Nanoplatforms for cancer theranostics,Unknown,Unknown,30264,2025-11-15 21:06:18
T11407,Innovative Microfluidic and Catalytic Techniques Innovation,Unknown,Unknown,29389,2025-11-15 21:06:18
T10958,Ultrasound and Hyperthermia Applications,Unknown,Unknown,29138,2025-11-15 21:06:18
